INSTNM,CITY,STABBR,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT
Alabama A & M University,Normal,AL,34.783368,-86.568502,0.8986,957,9744,18354
University of Alabama at Birmingham,Birmingham,AL,33.505697,-86.799345,0.9211,1220,8568,19704
Amridge University,Montgomery,AL,32.362609,-86.17401,NULL,NULL,6900,6900
University of Alabama in Huntsville,Huntsville,AL,34.724557,-86.640449,0.8087,1314,10714,22362
Alabama State University,Montgomery,AL,32.364317,-86.295677,0.9774,972,11068,19396
The University of Alabama,Tuscaloosa,AL,33.211875,-87.545978,0.5906,1252,10780,29230
Central Alabama Community College,Alexander City,AL,32.92478,-85.945266,NULL,NULL,4740,8610
Athens State University,Athens,AL,34.806793,-86.964698,NULL,NULL,NULL,NULL
Auburn University at Montgomery,Montgomery,AL,32.36736,-86.177544,0.9281,1084,8404,17812
Auburn University,Auburn,AL,32.599378,-85.488258,0.7543,1289,11276,30524
Birmingham-Southern College,Birmingham,AL,33.513774,-86.850552,0.5666,1232,17650,17650
Chattahoochee Valley Community College,Phenix City,AL,32.42391,-85.031485,NULL,NULL,4738,8608
South University-Montgomery,Montgomery,AL,32.342684,-86.216488,NULL,NULL,17014,17014
Enterprise State Community College,Enterprise,AL,31.297496,-85.836956,NULL,NULL,4740,8610
Coastal Alabama Community College,Bay Minette,AL,30.851343,-87.778193,NULL,NULL,4740,8610
Faulkner University,Montgomery,AL,32.384181,-86.21641,0.5227,1069,21690,21690
Gadsden State Community College,Gadsden,AL,33.994001,-85.991438,NULL,NULL,3840,7056
New Beginning College of Cosmetology,Albertville,AL,34.27871,-86.196931,NULL,NULL,NULL,NULL
George C Wallace Community College-Dothan,Dothan,AL,31.315274,-85.465836,NULL,NULL,4680,8550
George C Wallace State Community College-Hanceville,Hanceville,AL,34.072439,-86.781935,NULL,NULL,4740,8610
George C Wallace State Community College-Selma,Selma,AL,32.445917,-87.013294,NULL,NULL,4440,8310
Herzing University-Birmingham,Birmingham,AL,33.468466,-86.832465,0.95,NULL,14000,14000
Huntingdon College,Montgomery,AL,32.351034,-86.284366,0.5841,1100,27400,27400
Heritage Christian University,Florence,AL,34.856153,-87.663051,NULL,NULL,11232,11232
J. F. Drake State Community and Technical College,Huntsville,AL,34.771858,-86.572885,NULL,NULL,4710,8580
J F Ingram State Technical College,Deatsville,AL,32.582312,-86.392369,NULL,NULL,5328,5328
Jacksonville State University,Jacksonville,AL,33.822938,-85.765321,0.543,1135,8760,16536
Jefferson State Community College,Birmingham,AL,33.652535,-86.707233,NULL,NULL,4800,8670
John C Calhoun State Community College,Tanner,AL,34.645844,-86.949674,NULL,NULL,4820,8690
Judson College,Marion,AL,32.629253,-87.315206,0.482,1054,18510,18510
Lawson State Community College,Birmingham,AL,33.450814,-86.888844,NULL,NULL,4740,8610
University of West Alabama,Livingston,AL,32.588132,-88.186329,0.3966,1059,10040,18490
Lurleen B Wallace Community College,Andalusia,AL,31.322947,-86.452262,NULL,NULL,4740,8610
Marion Military Institute,Marion,AL,32.623734,-87.322041,0.5646,1155,9418,15418
Miles College,Fairfield,AL,33.482442,-86.908751,NULL,NULL,12132,12132
University of Mobile,Mobile,AL,30.793247,-88.128934,0.4704,1094,23230,23230
University of Montevallo,Montevallo,AL,33.10625,-86.865099,0.4848,1170,12760,25780
Northwest-Shoals Community College,Muscle Shoals,AL,34.739788,-87.678089,NULL,NULL,4711,8581
University of North Alabama,Florence,AL,34.806738,-87.681361,0.6434,1134,10142,18452
Northeast Alabama Community College,Rainsville,AL,34.545471,-85.911664,NULL,NULL,4740,8610
Oakwood University,Huntsville,AL,34.756344,-86.652705,0.6589,999,19732,19732
Reid State Technical College,Evergreen,AL,31.460265,-86.964797,NULL,NULL,4800,8670
Bishop State Community College,Mobile,AL,30.693972,-88.056982,NULL,NULL,4740,8610
Samford University,Birmingham,AL,33.464128,-86.791799,0.8208,1228,31650,31650
Selma University,Selma,AL,32.420387,-87.032392,NULL,NULL,7410,7410
Shelton State Community College,Tuscaloosa,AL,33.120531,-87.56148,NULL,NULL,4467,8907
Snead State Community College,Boaz,AL,34.201495,-86.169897,NULL,NULL,4800,8670
University of South Alabama,Mobile,AL,30.696033,-88.178711,0.7931,1186,8396,16292
Spring Hill College,Mobile,AL,30.694751,-88.138199,0.6577,1130,39464,39464
Stillman College,Tuscaloosa,AL,33.200006,-87.585278,0.3859,NULL,11092,11092
Talladega College,Talladega,AL,33.433472,-86.112704,NULL,NULL,13571,13571
H Councill Trenholm State Community College,Montgomery,AL,32.350109,-86.343057,NULL,NULL,4650,8520
Troy University,Troy,AL,31.800672,-85.957094,0.8767,1082,8908,16708
Tuskegee University,Tuskegee,AL,32.4309,-85.708492,0.5182,1119,22170,22170
United States Sports Academy,Daphne,AL,30.639329,-87.91163,NULL,NULL,NULL,NULL
Bevill State Community College,Jasper,AL,33.836929,-87.266406,NULL,NULL,5086,9214
